"Oth","0","0"," ","","","0","23"
"Oth","1","0"," ","","","0","23"
"Oth","2","0"," ","","","0","23"
"Oth","3","0"," ","","","0","23"
"Oth","4","0"," ","","","0","23"
"Oth","5","0"," ","","","0","23"
"Oth","6","0"," ","","","0","23"
"Oth","7","0"," ","","","0","23"
"Oth","0","1"," ","","","0","23"
"Oth","1","1"," ","","","0","23"
"Oth","2","1"," ","","","0","23"
"Oth","3","1"," ","","","0","23"
"Oth","4","1"," ","","","0","23"
"Oth","5","1"," ","","","0","23"
"Oth","6","1"," ","","","0","23"
"Oth","7","1"," ","","","0","23"
"Oth","0","2"," ","","","0","23"
"Oth","1","2"," ","","","0","23"
"Oth","2","2"," ","","","0","23"
"Oth","3","2","Black","Cameron",,"0","23"
"Oth","4","2","White","Hard AI","Hard","0","23"
"Oth","5","2"," ","","","0","23"
"Oth","6","2"," ","","","0","23"
"Oth","7","2"," ","","","0","23"
"Oth","0","3"," ","","","0","23"
"Oth","1","3"," ","","","0","23"
"Oth","2","3"," ","","","0","23"
"Oth","3","3","White","Hard AI","Hard","0","23"
"Oth","4","3","Black","Cameron",,"0","23"
"Oth","5","3","Black","Cameron",,"0","23"
"Oth","6","3"," ","","","0","23"
"Oth","7","3"," ","","","0","23"
"Oth","0","4"," ","","","0","23"
"Oth","1","4"," ","","","0","23"
"Oth","2","4","White","Hard AI","Hard","0","23"
"Oth","3","4","White","Hard AI","Hard","0","23"
"Oth","4","4","White","Hard AI","Hard","0","23"
"Oth","5","4"," ","","","0","23"
"Oth","6","4"," ","","","0","23"
"Oth","7","4"," ","","","0","23"
"Oth","0","5"," ","","","0","23"
"Oth","1","5"," ","","","0","23"
"Oth","2","5"," ","","","0","23"
"Oth","3","5"," ","","","0","23"
"Oth","4","5"," ","","","0","23"
"Oth","5","5"," ","","","0","23"
"Oth","6","5"," ","","","0","23"
"Oth","7","5"," ","","","0","23"
"Oth","0","6"," ","","","0","23"
"Oth","1","6"," ","","","0","23"
"Oth","2","6"," ","","","0","23"
"Oth","3","6"," ","","","0","23"
"Oth","4","6"," ","","","0","23"
"Oth","5","6"," ","","","0","23"
"Oth","6","6"," ","","","0","23"
"Oth","7","6"," ","","","0","23"
"Oth","0","7"," ","","","0","23"
"Oth","1","7"," ","","","0","23"
"Oth","2","7"," ","","","0","23"
"Oth","3","7"," ","","","0","23"
"Oth","4","7"," ","","","0","23"
"Oth","5","7"," ","","","0","23"
"Oth","6","7"," ","","","0","23"
"Oth","7","7"," ","","","0","23"
